DATE,LREM64TTUSM156S
1995-06-01,72.44593
1995-07-01,72.55175
1995-08-01,72.4799
1995-09-01,72.4902
1995-10-01,72.56978000000001
1995-11-01,72.50180999999999
1995-12-01,72.37111
1996-01-01,72.35033
1996-02-01,72.52225
1996-03-01,72.5882
1996-04-01,72.56345
1996-05-01,72.70170999999999
1996-06-01,72.82011999999999
1996-07-01,72.97945
1996-08-01,73.04315
1996-09-01,73.16715
1996-10-01,73.28994
1996-11-01,73.17132
1996-12-01,73.12892
1997-01-01,73.05022
1997-02-01,73.07525
1997-03-01,73.36944
1997-04-01,73.34129
1997-05-01,73.48277
1997-06-01,73.45023
1997-07-01,73.66816999999999
1997-08-01,73.75325
1997-09-01,73.65424
1997-10-01,73.66672
1997-11-01,73.81228
1997-12-01,73.75465
1998-01-01,73.70688
1998-02-01,73.77934
1998-03-01,73.79054000000001
1998-04-01,73.87017
1998-05-01,73.87397
1998-06-01,73.80286
1998-07-01,73.73617
1998-08-01,73.81113
1998-09-01,73.93871
1998-10-01,73.867
1998-11-01,73.91176999999999
1998-12-01,74.04748000000001
1999-01-01,74.07535
1999-02-01,73.93757
1999-03-01,73.94024
1999-04-01,73.81278
1999-05-01,73.98455
1999-06-01,73.90375
1999-07-01,73.88258
1999-08-01,73.91747
1999-09-01,73.83874
1999-10-01,73.94485
1999-11-01,74.03399999999999
1999-12-01,74.10468
2000-01-01,74.25333
2000-02-01,74.27606
2000-03-01,74.22891
2000-04-01,74.51366
2000-05-01,74.08521
2000-06-01,74.21438
2000-07-01,73.83391999999999
2000-08-01,73.88226
2000-09-01,73.86967
2000-10-01,73.89101
2000-11-01,73.92614
2000-12-01,74.109
2001-01-01,73.96542
2001-02-01,73.87383
2001-03-01,73.90762
2001-04-01,73.55553
2001-05-01,73.39594
2001-06-01,73.14317
2001-07-01,73.12405
2001-08-01,72.57829
2001-09-01,72.7848
2001-10-01,72.46345
2001-11-01,72.31742
2001-12-01,72.23959
2002-01-01,72.03249
2002-02-01,72.33837
2002-03-01,72.1566
2002-04-01,71.90249
2002-05-01,72.0191
2002-06-01,71.84312
2002-07-01,71.74404
2002-08-01,71.88308
2002-09-01,72.05032
2002-10-01,71.8741
2002-11-01,71.54895
2002-12-01,71.57875
2003-01-01,71.59366999999999
2003-02-01,71.51643
2003-03-01,71.39458
2003-04-01,71.38927
2003-05-01,71.22131999999999
2003-06-01,71.23026
2003-07-01,71.00453
2003-08-01,71.01482
2003-09-01,70.92196
2003-10-01,71.05233
2003-11-01,71.12987
2003-12-01,71.10164
2004-01-01,71.26120999999999
2004-02-01,71.20414
2004-03-01,71.04634
2004-04-01,71.19504
2004-05-01,71.14265
2004-06-01,71.10732
2004-07-01,71.29604
2004-08-01,71.25793
2004-09-01,71.16149
2004-10-01,71.2291
2004-11-01,71.36205
2004-12-01,71.30608000000001
2005-01-01,71.31815
2005-02-01,71.23395
2005-03-01,71.28214
2005-04-01,71.41856
2005-05-01,71.52468
2005-06-01,71.48533
2005-07-01,71.62051
2005-08-01,71.81305
2005-09-01,71.69244
2005-10-01,71.70146
2005-11-01,71.56659
2005-12-01,71.63467
2006-01-01,71.68746999999999
2006-02-01,71.76935999999999
2006-03-01,71.81908
2006-04-01,71.79715999999999
2006-05-01,71.87263
2006-06-01,72.01233
2006-07-01,72.02241
2006-08-01,72.10639
2006-09-01,72.05588
2006-10-01,72.24441
2006-11-01,72.17589
2006-12-01,72.3156
2007-01-01,72.1211
2007-02-01,71.96446
2007-03-01,71.99565
2007-04-01,71.71088
2007-05-01,71.75668
2007-06-01,71.77589
2007-07-01,71.74501
2007-08-01,71.58324
2007-09-01,71.71191
2007-10-01,71.58403
2007-11-01,71.77032
2007-12-01,71.54961999999999
2008-01-01,71.675
2008-02-01,71.43489
2008-03-01,71.42358
2008-04-01,71.40968000000001
2008-05-01,71.20107
2008-06-01,71.12018
2008-07-01,70.9221
2008-08-01,70.70241
2008-09-01,70.51952
2008-10-01,70.36758
2008-11-01,69.92626
2008-12-01,69.55478000000001
2009-01-01,69.04108000000001
2009-02-01,68.7477
2009-03-01,68.23695
2009-04-01,68.14206
2009-05-01,67.77575
2009-06-01,67.81184
2009-07-01,67.69003000000001
2009-08-01,67.32019
2009-09-01,66.88446
2009-10-01,66.61475
2009-11-01,66.69272
2009-12-01,66.43693
2010-01-01,66.78126999999999
2010-02-01,66.72453
2010-03-01,66.73448
2010-04-01,66.839
2010-05-01,66.734
2010-06-01,66.74086
2010-07-01,66.71754
2010-08-01,66.76039
2010-09-01,66.65043
2010-10-01,66.46425
2010-11-01,66.38101
2010-12-01,66.50674000000001
2011-01-01,66.69208
2011-02-01,66.6004
2011-03-01,66.67642
2011-04-01,66.54482
2011-05-01,66.53605
2011-06-01,66.42603000000001
2011-07-01,66.41691999999999
2011-08-01,66.66683
2011-09-01,66.68784000000001
2011-10-01,66.66634
2011-11-01,66.8063
2011-12-01,66.84204
2012-01-01,66.92182
2012-02-01,66.96387
2012-03-01,66.98264
2012-04-01,66.93391
2012-05-01,67.06319
2012-06-01,67.1325
2012-07-01,67.05669
2012-08-01,67.01395
2012-09-01,67.31342
2012-10-01,67.49073
2012-11-01,67.27306999999999
2012-12-01,67.29604
2013-01-01,67.25576
2013-02-01,67.24407
2013-03-01,67.18841
2013-04-01,67.25117
2013-05-01,67.33892
2013-06-01,67.36057
2013-07-01,67.48463000000001
2013-08-01,67.42302
2013-09-01,67.47519
2013-10-01,67.14536
2013-11-01,67.45278
2013-12-01,67.547
2014-01-01,67.72102
2014-02-01,67.7045
2014-03-01,67.90665
2014-04-01,67.94513
2014-05-01,68.02985
2014-06-01,68.15089
2014-07-01,68.15983
2014-08-01,68.21954000000001
2014-09-01,68.27580999999999
2014-10-01,68.57591
2014-11-01,68.52122
2014-12-01,68.48817
2015-01-01,68.54179
2015-02-01,68.53787
2015-03-01,68.42081999999999
2015-04-01,68.67575
2015-05-01,68.79496
2015-06-01,68.68949
2015-07-01,68.63828000000001
2015-08-01,68.75819
2015-09-01,68.66492
2015-10-01,68.74213
2015-11-01,68.8962
2015-12-01,69.0938
2016-01-01,69.18366
2016-02-01,69.25465
2016-03-01,69.2868
2016-04-01,69.14804000000001
2016-05-01,69.28429
2016-06-01,69.19458
2016-07-01,69.28483
2016-08-01,69.37602
2016-09-01,69.42687
2016-10-01,69.43211
2016-11-01,69.55502
2016-12-01,69.57292
2017-01-01,69.65077
2017-02-01,69.72946
2017-03-01,70.00137
2017-04-01,70.08839
2017-05-01,70.00261
2017-06-01,70.09669
2017-07-01,70.18177
2017-08-01,70.15285
2017-09-01,70.47726
2017-10-01,70.27003
2017-11-01,70.31042
2017-12-01,70.30235
2018-01-01,70.32028000000001
2018-02-01,70.6001
2018-03-01,70.54984
2018-04-01,70.53323
2018-05-01,70.71712
2018-06-01,70.69332
2018-07-01,70.86755
2018-08-01,70.57458000000001
2018-09-01,70.77269
2018-10-01,70.93236999999999
2018-11-01,70.98536999999999
2018-12-01,71.0135
2019-01-01,71.03024
2019-02-01,71.06799000000001
2019-03-01,71.05621
2019-04-01,71.13689000000001
2019-05-01,71.14466999999999
2019-06-01,71.24783000000001
2019-07-01,71.26698
2019-08-01,71.41702
2019-09-01,71.71688
2019-10-01,71.71452
2019-11-01,71.6877
2019-12-01,71.69821
2020-01-01,71.76446999999999
2020-02-01,71.80173
2020-03-01,70.50975
2020-04-01,60.171119999999995
2020-05-01,62.24371
2020-06-01,64.7919
2020-07-01,65.38378
2020-08-01,66.85184
2020-09-01,66.92528
2020-10-01,67.8985
2020-11-01,67.80861999999999
2020-12-01,67.95289
2021-01-01,68.19659
2021-02-01,68.46069
2021-03-01,68.58292
2021-04-01,68.64573
2021-05-01,68.97804000000001
2021-06-01,69.11287
2021-07-01,69.67599
2021-08-01,69.67438
2021-09-01,69.94469000000001
2021-10-01,70.21243
2021-11-01,70.61934000000001
2021-12-01,70.83514
2022-01-01,70.72739
2022-02-01,70.8944
2022-03-01,71.21769
2022-04-01,71.19485
2022-05-01,71.36476
2022-06-01,71.23962
2022-07-01,71.33625
2022-08-01,71.47372
2022-09-01,71.4325
2022-10-01,71.29188
2022-11-01,71.30185
2022-12-01,71.63156
2023-01-01,71.68515
2023-02-01,71.76801
2023-03-01,71.85719
2023-04-01,71.95815
2023-05-01,71.94364
2023-06-01,71.99511
2023-07-01,71.96581
2023-08-01,72.0615
2023-09-01,72.05243
2023-10-01,71.97988000000001
2023-11-01,72.09671
2023-12-01,71.81763000000001
2024-01-01,72.01261
2024-02-01,71.88552
2024-03-01,72.00176
2024-04-01,72.02490999999999
2024-05-01,71.8811
2024-06-01,71.82606
